word,compound_vader_score
happy,0.5719
sad,-0.4767
thanks,0.4404
free,0.5106
honor,0.4939
dumpster,-0.1531
diving,0.0772
thank,0.3612
crisis,-0.6249
lowest,-0.3818
dump,-0.3818
happy,0.5719
forgotten,-0.2263
want,0.0772
free,0.5106
interested,0.4019
bother,-0.34
free,0.5106
play,0.34
difficult,-0.3612
interested,0.4019
party,0.4019
interested,0.4019
lost,-0.3182
thank,0.3612
woe,-0.4215
want,0.0772
free,0.5106
lost,-0.3182
miss,-0.1531
scared,-0.4404
friend,0.4939
ok,0.296
feeling,0.128
overwhelmed,0.0516
mad,-0.4939
incompetent,-0.4767
motivation,0.34
pls,0.0772
help,0.4019
help,0.4019
pls,0.0772
poor,-0.4767
suck,-0.4404
improving,0.4215
prospect,0.296
fuck,-0.5423
favorite,0.4588
rainy,-0.0772
convince,0.25
leave,-0.0516
miss,-0.1531
credit,0.3818
failing,-0.5106
playing,0.2023
legal,0.128
suck,-0.4404
lose,-0.4019
good,0.4404
ignore,-0.3612
miss,-0.1531
lost,-0.3182
like,0.3612
dump,-0.3818
sad,-0.4767
pretty,0.4939
stunned,-0.1027
pretty,0.4939
bright,0.4404
pay,-0.1027
beating,-0.4588
good,0.4404
want,0.0772
won,0.5719
like,0.3612
mad,-0.4939
lost,-0.3182
free,0.5106
free,0.5106
good,0.4404
help,0.4019
risk,-0.2732
lmao,0.5994
bright,0.4404
mistake,-0.34
missing,-0.296
disappeared,-0.2263
illegal,-0.5574
free,0.5106
violation,-0.4939
dumpster,-0.1531
difficulty,-0.34
disappointed,-0.4767
hell,-0.6808
hand,0.4939
like,0.3612
free,0.5106
interested,0.4019
great,0.6249
nice,0.4215
free,0.5106
peace,0.5423
easier,0.4215
launched,0.128
pay,-0.1027
play,0.34
smart,0.4019
wealthy,0.3612
chance,0.25
drop,-0.2732
active,0.4019
leave,-0.0516
thank,0.3612
hate,-0.5719
like,0.3612
lower,-0.296
lower,-0.296
happy,0.5719
favorite,0.4588
anxiety,-0.1779
fresh,0.3182
like,0.3612
gift,0.4404
best,0.6369
easy,0.4404
help,0.4019
creating,0.296
strong,0.5106
strange,-0.2023
bad,-0.5423
thank,0.3612
difficulty,-0.34
anxiety,-0.1779
lol,0.4215
surely,0.4404
join,0.296
great,0.6249
credit,0.3818
opportunity,0.4215
kind,0.5267
accept,0.3818
credit,0.3818
hard,-0.1027
credit,0.3818
great,0.6249
worried,-0.296
help,0.4019
leave,-0.0516
gun,-0.34
useful,0.4404
lol,0.4215
crime,-0.5423
lost,-0.3182
urgent,0.2023
pay,-0.1027
favorite,0.4588
trauma,-0.4215
fear,-0.4939
mad,-0.4939
forget,-0.2263
strong,0.5106
nice,0.4215
fail,-0.5423
died,-0.5574
want,0.0772
free,0.5106
free,0.5106
interest,0.4588
heart,0.6369
happy,0.5719
want,0.0772
ok,0.296
fail,-0.5423
credit,0.3818
credit,0.3818
opportunity,0.4215
allow,0.2263
violation,-0.4939
plz,0.0772
urgent,0.2023
wrong,-0.4767
grand,0.4588
unified,0.3818
dick,-0.5106
thanks,0.4404
drop,-0.2732
boost,0.4019
ok,0.296
fail,-0.5423
steal,-0.4939
steal,-0.4939
worth,0.2263
embarrassed,-0.3612
died,-0.5574
l,0.4588
worn,-0.296
hand,0.4939
problem,-0.4019
value,0.34
favor,0.4019
thank,0.3612
solution,0.3182
dear,0.3818
free,0.5106
gg,0.296
dump,-0.3818
help,0.4019
accident,-0.4767
pay,-0.1027
confused,-0.3182
congrats,0.5267
panicking,-0.4404
wow,0.5859
awful,-0.4588
dear,0.3818
credit,0.3818
pls,0.0772
expelled,-0.25
failing,-0.5106
worth,0.2263
suck,-0.4404
credit,0.3818
like,0.3612
want,0.0772
fan,0.3182
interested,0.4019
badly,-0.4767
fuck,-0.5423
thank,0.3612
idk,-0.1027
missing,-0.296
dump,-0.3818
want,0.0772
violation,-0.4939
pay,-0.1027
share,0.296
sick,-0.5106
fuck,-0.5423
accepted,0.2732
kissed,0.3818
kissed,0.3818
curious,0.3182
dump,-0.3818
important,0.2023
successful,0.5859
pls,0.0772
nice,0.4215
like,0.3612
lol,0.4215
lost,-0.3182
party,0.4019
weird,-0.1779
distressed,-0.4215
admit,0.2023
help,0.4019
worst,-0.6249
like,0.3612
lying,-0.5267
deceitful,-0.4404
die,-0.5994
won,0.5719
waste,-0.4215
straight,0.2263
stolen,-0.4939
good,0.4404
pressure,-0.296
violation,-0.4939
amazon,0.1779
pls,0.0772
best,0.6369
gt,0.2732
brutal,-0.6249
help,0.4019
depressing,-0.3818
care,0.4939
scared,-0.4404
kind,0.5267
dear,0.3818
dynamic,0.3818
surprisingly,0.296
easy,0.4404
best,0.6369
pls,0.0772
suffering,-0.4767
friend,0.4939
pay,-0.1027
interested,0.4019
miss,-0.1531
stressed,-0.34
prospect,0.296
matter,0.0258
good,0.4404
help,0.4019
kill,-0.6908
stopped,-0.2263
enjoy,0.4939
want,0.0772
crush,-0.1531
lol,0.4215
worth,0.2263
lost,-0.3182
help,0.4019
friend,0.4939
exhausted,-0.3612
honor,0.4939
l,0.4588
friend,0.4939
want,0.0772
heaven,0.5106
innovative,0.4404
bored,-0.2732
depressed,-0.5106
risk,-0.2732
cool,0.3182
help,0.4019
curious,0.3182
played,0.34
gt,0.2732
funny,0.4404
opportunity,0.4215
stolen,-0.4939
fuck,-0.5423
grand,0.4588
escape,0.1779
lost,-0.3182
screaming,-0.3818
friend,0.4939
sad,-0.4767
great,0.6249
join,0.296
definitely,0.4019
help,0.4019
depressed,-0.5106
fuck,-0.5423
hard,-0.1027
dear,0.3818
lost,-0.3182
worst,-0.6249
amazon,0.1779
gift,0.4404
gift,0.4404
wish,0.4019
drop,-0.2732
lost,-0.3182
credit,0.3818
want,0.0772
sick,-0.5106
bad,-0.5423
share,0.296
bored,-0.2732
drop,-0.2732
pay,-0.1027
ridiculous,-0.3612
best,0.6369
depressed,-0.5106
stopping,-0.1531
disappear,-0.2263
worth,0.2263
free,0.5106
heartbreak,-0.5719
share,0.296
motivation,0.34
complain,-0.3612
anticipation,0.1027
perfect,0.5719
peace,0.5423
cool,0.3182
anxiety,-0.1779
fuck,-0.5423
stop,-0.296
stressing,-0.3612
free,0.5106
friend,0.4939
dream,0.25
conflict,-0.3182
odd,-0.3182
block,-0.4404
party,0.4019
fuck,-0.5423
stopped,-0.2263
fight,-0.3818
pay,-0.1027
problem,-0.4019
love,0.6369
pay,-0.1027
fun,0.5106
wrong,-0.4767
pay,-0.1027
teaspoon,0.0516
lost,-0.3182
agreeing,0.34
like,0.3612
fight,-0.3818
best,0.6369
appreciated,0.5106
thank,0.3612
honor,0.4939
easier,0.4215
bored,-0.2732
lost,-0.3182
rant,-0.34
friend,0.4939
best,0.6369
champagne,0.296
happy,0.5719
anti,-0.3182
fake,-0.4767
friend,0.4939
honor,0.4939
share,0.296
struggling,-0.4215
great,0.6249
scared,-0.4404
benefit,0.4588
shit,-0.5574
dear,0.3818
fraud,-0.5859
like,0.3612
broken,-0.4767
dream,0.25
bad,-0.5423
commit,0.296
acceptance,0.4588
plz,0.0772
pay,-0.1027
help,0.4019
help,0.4019
champagne,0.296
suicide,-0.6705
dumping,-0.3182
wish,0.4019
best,0.6369
feeling,0.128
horrible,-0.5423
committed,0.2732
thank,0.3612
drop,-0.2732
privilege,0.3612
funniest,0.5574
interest,0.4588
vitalizing,0.3182
privilege,0.3612
funniest,0.5574
credit,0.3818
like,0.3612
sad,-0.4767
want,0.0772
champion,0.5994
wishing,0.2263
good,0.4404
luck,0.4588
easy,0.4404
ready,0.3612
fail,-0.5423
feeling,0.128
weird,-0.1779
number,0.0772
feeling,0.128
depressed,-0.5106
suicidal,-0.6705
urgent,0.2023
want,0.0772
help,0.4019
screwed,-0.4939
fun,0.5106
fire,-0.34
lost,-0.3182
free,0.5106
accepted,0.2732
good,0.4404
luck,0.4588
easiest,0.4215
acceptance,0.4588
honor,0.4939
sad,-0.4767
stressed,-0.34
want,0.0772
appreciate,0.4019
pretty,0.4939
thanks,0.4404
good,0.4404
good,0.4404
restriction,-0.2732
lost,-0.3182
interesting,0.4019
credit,0.3818
block,-0.4404
party,0.4019
lol,0.4215
weirdly,-0.296
miserable,-0.4939
scared,-0.4404
crash,-0.4019
crash,-0.4019
want,0.0772
play,0.34
bored,-0.2732
cry,-0.4767
cancel,-0.25
spam,-0.3612
spam,-0.3612
like,0.3612
discounted,0.0516
party,0.4019
hoping,0.4215
partying,0.3818
playing,0.2023
good,0.4404
reach,0.0258
struggling,-0.4215
bad,-0.5423
lost,-0.3182
gt,0.2732
fuck,-0.5423
appreciation,0.5106
screwed,-0.4939
rejection,-0.5423
seriously,-0.1779
fire,-0.34
alarm,-0.34
fucked,-0.6597
badly,-0.4767
help,0.4019
death,-0.5994
sad,-0.4767
lol,0.4215
cancel,-0.25
play,0.34
drop,-0.2732
huge,0.3182
favor,0.4019
top,0.2023
thank,0.3612
credit,0.3818
thank,0.3612
nasties,-0.4767
pretty,0.4939
thanks,0.4404
appreciation,0.5106
ok,0.296
super,0.5994
nervous,-0.2732
wish,0.4019
luck,0.4588
help,0.4019
weird,-0.1779
exciting,0.4939
protest,-0.25
proud,0.4767
exciting,0.4939
stop,-0.296
pretty,0.4939
cool,0.3182
banned,-0.4588
saved,0.4215
accepting,0.3818
sorry,-0.0772
ok,0.296
fake,-0.4767
supportive,0.296
plz,0.0772
wish,0.4019
luck,0.4588
love,0.6369
critical,-0.3182
fake,-0.4767
congratulation,0.5994
greatest,0.6369
fake,-0.4767
drop,-0.2732
lmao,0.5994
hope,0.4404
fume,-0.296
love,0.6369
drop,-0.2732
happy,0.5719
help,0.4019
integrity,0.3818
violation,-0.4939
stressed,-0.34
worse,-0.4767
friend,0.4939
number,0.0772
hard,-0.1027
drop,-0.2732
credit,0.3818
lost,-0.3182
xd,0.5859
weird,-0.1779
lost,-0.3182
drop,-0.2732
worst,-0.6249
appreciate,0.4019
fraud,-0.5859
worried,-0.296
drop,-0.2732
credit,0.3818
missing,-0.296
opportunity,0.4215
best,0.6369
best,0.6369
drop,-0.2732
want,0.0772
glee,0.6369
good,0.4404
luck,0.4588
drop,-0.2732
drop,-0.2732
help,0.4019
help,0.4019
regret,-0.4215
hurt,-0.5267
hope,0.4404
alright,0.25
easiest,0.4215
exciting,0.4939
stop,-0.296
good,0.4404
luck,0.4588
missing,-0.296
good,0.4404
luck,0.4588
good,0.4404
luck,0.4588
security,0.34
missing,-0.296
friend,0.4939
weird,-0.1779
protect,0.3818
legal,0.128
lol,0.4215
drop,-0.2732
credit,0.3818
friend,0.4939
wrong,-0.4767
conflict,-0.3182
hellish,-0.6369
respect,0.4767
fuck,-0.5423
good,0.4404
credit,0.3818
nice,0.4215
want,0.0772
help,0.4019
safe,0.4404
drop,-0.2732
screwed,-0.4939
important,0.2023
easier,0.4215
join,0.296
trouble,-0.4019
help,0.4019
appreciated,0.5106
chance,0.25
credit,0.3818
help,0.4019
giving,0.34
drop,-0.2732
easiest,0.4215
hardy,0.4019
like,0.3612
creative,0.4404
violation,-0.4939
integrity,0.3818
intelligence,0.4767
help,0.4019
credit,0.3818
credit,0.3818
best,0.6369
wtf,-0.5859
easy,0.4404
lost,-0.3182
good,0.4404
panic,-0.5106
attack,-0.4767
friendship,0.4404
invite,0.1531
failed,-0.5106
missed,-0.296
easy,0.4404
credit,0.3818
difficult,-0.3612
dear,0.3818
terrorist,-0.6908
creative,0.4404
giving,0.34
free,0.5106
creative,0.4404
interested,0.4019
good,0.4404
interested,0.4019
security,0.34
joke,0.296
consent,0.2263
interested,0.4019
boosting,0.34
credit,0.3818
help,0.4019
affected,-0.1531
integrity,0.3818
violation,-0.4939
illness,-0.4019
suck,-0.4404
idk,-0.1027
honor,0.4939
allow,0.2263
help,0.4019
leaked,-0.3182
credit,0.3818
bizarre,-0.3182
adventure,0.3182
creative,0.4404
friend,0.4939
easy,0.4404
disappears,-0.34
missing,-0.296
credit,0.3818
dearest,0.5574
credit,0.3818
difficult,-0.3612
stressed,-0.34
helpful,0.4215
weird,-0.1779
thank,0.3612
effective,0.4767
death,-0.5994
worth,0.2263
pay,-0.1027
pls,0.0772
share,0.296
credit,0.3818
rejected,-0.5106
joke,0.296
hard,-0.1027
best,0.6369
easiest,0.4215
easy,0.4404
fun,0.5106
good,0.4404
easy,0.4404
cool,0.3182
interesting,0.4019
easiest,0.4215
creative,0.4404
party,0.4019
like,0.3612
bad,-0.5423
good,0.4404
scared,-0.4404
lost,-0.3182
drunk,-0.34
want,0.0772
leave,-0.0516
good,0.4404
leave,-0.0516
conflict,-0.3182
pls,0.0772
help,0.4019
grant,0.3612
intelligence,0.4767
error,-0.4019
pain,-0.5106
approved,0.4215
scary,-0.4939
like,0.3612
lol,0.4215
smart,0.4019
freaking,-0.4215
smart,0.4019
want,0.0772
want,0.0772
kill,-0.6908
piss,-0.4019
cleaner,0.1779
admitted,0.1027
best,0.6369
want,0.0772
favorite,0.4588
created,0.25
war,-0.5994
delay,-0.3182
best,0.6369
hope,0.4404
fuck,-0.5423
excited,0.34
lost,-0.3182
missed,-0.296
security,0.34
help,0.4019
help,0.4019
prevent,0.0258
suicide,-0.6705
peace,0.5423
suicidal,-0.6705
cool,0.3182
easy,0.4404
wreck,-0.4404
best,0.6369
dead,-0.6486
pain,-0.5106
safety,0.4215
like,0.3612
advanced,0.25
safety,0.4215
fun,0.5106
leave,-0.0516
grateful,0.4588
dead,-0.6486
dead,-0.6486
pretty,0.4939
bad,-0.5423
thank,0.3612
good,0.4404
cry,-0.4767
superior,0.5423
easiest,0.4215
credit,0.3818
favorite,0.4588
exciting,0.4939
crazy,-0.34
difficulty,-0.34
okay,0.2263
approved,0.4215
lenient,0.2732
drop,-0.2732
integrity,0.3818
violation,-0.4939
drop,-0.2732
help,0.4019
security,0.34
help,0.4019
security,0.34
help,0.4019
security,0.34
help,0.4019
desperate,-0.3182
happily,0.5574
hand,0.4939
party,0.4019
integrity,0.3818
violation,-0.4939
credit,0.3818
missed,-0.296
want,0.0772
help,0.4019
ha,0.34
stressed,-0.34
faking,-0.4215
wrong,-0.4767
opportunity,0.4215
pay,-0.1027
fail,-0.5423
credit,0.3818
charged,-0.2023
grant,0.3612
best,0.6369
love,0.6369
credit,0.3818
want,0.0772
want,0.0772
pay,-0.1027
ideally,0.4215
free,0.5106
matter,0.0258
missing,-0.296
drop,-0.2732
credit,0.3818
launched,0.128
missing,-0.296
help,0.4019
fuck,-0.5423
like,0.3612
better,0.4404
fucked,-0.6597
desperate,-0.3182
free,0.5106
help,0.4019
drop,-0.2732
credit,0.3818
gun,-0.34
warned,-0.2732
dedicated,0.4588
good,0.4404
harm,-0.5423
help,0.4019
good,0.4404
drop,-0.2732
delicious,0.5719
played,0.34
love,0.6369
care,0.4939
cancel,-0.25
forgotten,-0.2263
help,0.4019
strong,0.5106
attacking,-0.4588
strong,0.5106
hard,-0.1027
matter,0.0258
like,0.3612
refuse,-0.296
drop,-0.2732
invite,0.1531
drop,-0.2732
worried,-0.296
super,0.5994
credit,0.3818
weird,-0.1779
difficult,-0.3612
interested,0.4019
free,0.5106
faking,-0.4215
kind,0.5267
energy,0.2732
fun,0.5106
recommended,0.2023
trap,-0.3182
warning,-0.34
positive,0.5574
strong,0.5106
easiest,0.4215
fun,0.5106
limited,-0.2263
credit,0.3818
anti,-0.3182
racism,-0.6249
credit,0.3818
dream,0.25
drop,-0.2732
leave,-0.0516
optimistic,0.3182
like,0.3612
create,0.2732
pretty,0.4939
crazy,-0.34
trapped,-0.5267
matter,0.0258
worth,0.2263
chance,0.25
good,0.4404
interest,0.4588
interested,0.4019
brutal,-0.6249
pain,-0.5106
drop,-0.2732
fine,0.2023
stressed,-0.34
seriously,-0.1779
fake,-0.4767
like,0.3612
interested,0.4019
justice,0.5267
missed,-0.296
feeling,0.128
overwhelmed,0.0516
damn,-0.4019
bad,-0.5423
drop,-0.2732
disappointed,-0.4767
lost,-0.3182
credit,0.3818
yes,0.4019
violate,-0.4939
hoping,0.4215
thanks,0.4404
interested,0.4019
expand,0.3182
help,0.4019
lose,-0.4019
improve,0.4404
lol,0.4215
unmotivated,-0.34
like,0.3612
damn,-0.4019
unmotivated,-0.34
like,0.3612
damn,-0.4019
scream,-0.4019
like,0.3612
honor,0.4939
uncertainty,-0.34
difficulty,-0.34
allow,0.2263
credit,0.3818
credit,0.3818
allow,0.2263
nicely,0.4404
failed,-0.5106
failed,-0.5106
best,0.6369
wishing,0.2263
strong,0.5106
hell,-0.6808
low,-0.2732
damn,-0.4019
help,0.4019
urgent,0.2023
annoyed,-0.3818
easy,0.4404
stress,-0.4215
reach,0.0258
feeling,0.128
unmotivated,-0.34
want,0.0772
hate,-0.5719
dump,-0.3818
appreciation,0.5106
thank,0.3612
legal,0.128
dumb,-0.5106
hopeless,-0.4588
help,0.4019
fighting,-0.3612
joke,0.296
fucked,-0.6597
pretty,0.4939
fucked,-0.6597
drop,-0.2732
stop,-0.296
cry,-0.4767
active,0.4019
emergency,-0.3818
success,0.5719
best,0.6369
honestly,0.4588
nice,0.4215
drop,-0.2732
admit,0.2023
regret,-0.4215
credit,0.3818
bad,-0.5423
good,0.4404
drop,-0.2732
best,0.6369
cry,-0.4767
complainer,-0.4215
stop,-0.296
whining,-0.2263
drop,-0.2732
like,0.3612
like,0.3612
fine,0.2023
want,0.0772
calm,0.3182
failed,-0.5106
good,0.4404
insane,-0.4019
undecided,-0.2263
fun,0.5106
gt,0.2732
missing,-0.296
playing,0.2023
okay,0.2263
help,0.4019
leave,-0.0516
credit,0.3818
cancelled,-0.25
friendship,0.4404
paradox,-0.1027
dump,-0.3818
boost,0.4019
free,0.5106
pay,-0.1027
treat,0.4019
friend,0.4939
fire,-0.34
fire,-0.34
insecurity,-0.4215
mistake,-0.34
miss,-0.1531
credit,0.3818
war,-0.5994
heart,0.6369
super,0.5994
lost,-0.3182
protest,-0.25
like,0.3612
freelancer,0.2732
low,-0.2732
want,0.0772
want,0.0772
pay,-0.1027
racism,-0.6249
solved,0.2732
love,0.6369
lol,0.4215
leave,-0.0516
appreciation,0.5106
like,0.3612
plz,0.0772
like,0.3612
swear,-0.0516
sorry,-0.0772
liked,0.4215
thanks,0.4404
good,0.4404
death,-0.5994
favorite,0.4588
matter,0.0258
straight,0.2263
failure,-0.5106
good,0.4404
good,0.4404
good,0.4404
help,0.4019
nice,0.4215
pretty,0.4939
shaking,-0.1779
fuck,-0.5423
scared,-0.4404
grant,0.3612
low,-0.2732
fun,0.5106
grant,0.3612
rainy,-0.0772
cry,-0.4767
like,0.3612
sick,-0.5106
easy,0.4404
missing,-0.296
honor,0.4939
shame,-0.4767
easy,0.4404
accepted,0.2732
trouble,-0.4019
vital,0.296
love,0.6369
disappointing,-0.4939
better,0.4404
help,0.4019
racism,-0.6249
help,0.4019
yes,0.4019
number,0.0772
credit,0.3818
easy,0.4404
wow,0.5859
easiest,0.4215
credit,0.3818
crisis,-0.6249
useless,-0.4215
care,0.4939
like,0.3612
anti,-0.3182
jerk,-0.34
good,0.4404
difficulty,-0.34
useless,-0.4215
care,0.4939
useless,-0.4215
care,0.4939
allow,0.2263
feeling,0.128
flexible,0.2263
conflict,-0.3182
drop,-0.2732
join,0.296
conflict,-0.3182
credit,0.3818
missing,-0.296
better,0.4404
help,0.4019
hard,-0.1027
accepted,0.2732
effectively,0.4404
pain,-0.5106
bad,-0.5423
appreciate,0.4019
fight,-0.3818
easy,0.4404
scam,-0.5719
scam,-0.5719
worth,0.2263
chance,0.25
easy,0.4404
credit,0.3818
easy,0.4404
ethical,0.5106
actively,0.3182
help,0.4019
like,0.3612
bad,-0.5423
warm,0.2263
useful,0.4404
successfully,0.4939
interested,0.4019
fitness,0.2732
good,0.4404
warning,-0.34
wrong,-0.4767
wellness,0.4404
okay,0.2263
fun,0.5106
easiest,0.4215
murder,-0.6908
low,-0.2732
help,0.4019
stolen,-0.4939
positive,0.5574
nah,-0.1027
emergency,-0.3818
secured,0.4019
enjoy,0.4939
approved,0.4215
urgent,0.2023
easy,0.4404
guarantee,0.25
best,0.6369
help,0.4019
acceptance,0.4588
want,0.0772
tired,-0.4404
spam,-0.3612
good,0.4404
want,0.0772
credit,0.3818
hide,-0.1779
lost,-0.3182
lost,-0.3182
discord,-0.4019
join,0.296
safe,0.4404
ban,-0.5574
want,0.0772
lose,-0.4019
dear,0.3818
alright,0.25
clueless,-0.3612
easy,0.4404
interesting,0.4019
credit,0.3818
bad,-0.5423
drop,-0.2732
fan,0.3182
strong,0.5106
easiest,0.4215
drop,-0.2732
chance,0.25
wrong,-0.4767
easy,0.4404
problem,-0.4019
super,0.5994
irritated,-0.4588
like,0.3612
honor,0.4939
intellectually,0.34
curious,0.3182
motivated,0.4588
thank,0.3612
wrong,-0.4767
pain,-0.5106
warning,-0.34
regretting,-0.4019
credit,0.3818
commit,0.296
lost,-0.3182
cheating,-0.5574
want,0.0772
like,0.3612
credit,0.3818
scam,-0.5719
sigh,0.0258
stop,-0.296
credit,0.3818
like,0.3612
join,0.296
rant,-0.34
bad,-0.5423
party,0.4019
screaming,-0.3818
blocked,-0.2732
wow,0.5859
friend,0.4939
hope,0.4404
enjoy,0.4939
friend,0.4939
hope,0.4404
enjoy,0.4939
friend,0.4939
dumb,-0.5106
help,0.4019
trouble,-0.4019
sharing,0.4215
loser,-0.5267
anti,-0.3182
racism,-0.6249
missed,-0.296
wellness,0.4404
perfect,0.5719
mistake,-0.34
love,0.6369
idk,-0.1027
fuck,-0.5423
bizarre,-0.3182
adventure,0.3182
wellness,0.4404
meaningless,-0.4404
help,0.4019
confused,-0.3182
energy,0.2732
easiest,0.4215
help,0.4019
pls,0.0772
help,0.4019
like,0.3612
fun,0.5106
wish,0.4019
alarm,-0.34
nasties,-0.4767
increase,0.3182
chance,0.25
want,0.0772
strong,0.5106
number,0.0772
enemy,-0.5423
wellness,0.4404
vision,0.25
super,0.5994
lame,-0.4215
vision,0.25
worst,-0.6249
avoid,-0.296
pay,-0.1027
straight,0.2263
yes,0.4019
happy,0.5719
credit,0.3818
wellness,0.4404
terrified,-0.6124
better,0.4404
credit,0.3818
dumpster,-0.1531
welcome,0.4588
wellness,0.4404
dear,0.3818
wellness,0.4404
