word,compound_vader_score
acceptability,0.2732
help,0.4019
profit,0.4404
play,0.34
happy,0.5719
best,0.6369
friend,0.4939
good,0.4404
care,0.4939
happy,0.5719
reached,0.1027
matter,0.0258
ignore,-0.3612
happy,0.5719
forget,-0.2263
worry,-0.4404
fun,0.5106
lose,-0.4019
gained,0.3818
lose,-0.4019
best,0.6369
friend,0.4939
resigned,-0.25
care,0.4939
better,0.4404
better,0.4404
happy,0.5719
like,0.3612
fire,-0.34
alive,0.3818
happy,0.5719
alive,0.3818
inspired,0.4939
like,0.3612
fire,-0.34
feeling,0.128
alive,0.3818
happy,0.5719
die,-0.5994
special,0.4019
united,0.4215
united,0.4215
nice,0.4215
compliment,0.4767
happier,0.5267
nice,0.4215
compliment,0.4767
best,0.6369
friend,0.4939
happiest,0.6369
share,0.296
clearly,0.4019
happy,0.5719
feeling,0.128
happiness,0.5574
joyous,0.6249
happily,0.5574
played,0.34
great,0.6249
broke,-0.4215
abusive,-0.6369
special,0.4019
dream,0.25
beautiful,0.5994
happy,0.5719
share,0.296
hard,-0.1027
positive,0.5574
better,0.4404
happy,0.5719
okay,0.2263
happy,0.5719
sure,0.3182
sad,-0.4767
happy,0.5719
happy,0.5719
feeling,0.128
happy,0.5719
proud,0.4767
share,0.296
feeling,0.128
peace,0.5423
happy,0.5719
hand,0.4939
best,0.6369
friend,0.4939
smiling,0.4588
cheerful,0.5423
energy,0.2732
love,0.6369
stop,-0.296
pity,-0.296
help,0.4019
pride,0.34
won,0.5719
trust,0.5106
love,0.6369
happiest,0.6369
amazing,0.5859
happiness,0.5574
love,0.6369
original,0.3182
silly,0.0258
surprise,0.2732
want,0.0772
love,0.6369
beautiful,0.5994
happy,0.5719
positive,0.5574
elated,0.6369
glad,0.4588
sad,-0.4767
horrible,-0.5423
abusive,-0.6369
severe,-0.3818
stress,-0.4215
anxiety,-0.1779
cheer,0.5106
warm,0.2263
feeling,0.128
happy,0.5719
happy,0.5719
perfect,0.5719
amazing,0.5859
fun,0.5106
beloved,0.5106
best,0.6369
friend,0.4939
spirit,0.1779
sure,0.3182
poorer,-0.3612
loved,0.5994
sigh,0.0258
positive,0.5574
happy,0.5719
depressed,-0.5106
happier,0.5267
ready,0.3612
devote,0.34
helping,0.296
rapist,-0.7096
guilty,-0.4215
want,0.0772
thank,0.3612
supported,0.3182
smile,0.3612
yay,0.5267
friend,0.4939
yay,0.5267
best,0.6369
wish,0.4019
friend,0.4939
wish,0.4019
awesome,0.6249
lucky,0.4215
awesome,0.6249
favorite,0.4588
happier,0.5267
excited,0.34
amazing,0.5859
fun,0.5106
dream,0.25
treat,0.4019
celebrated,0.5719
beautiful,0.5994
happy,0.5719
wonderful,0.5719
happy,0.5719
happy,0.5719
happy,0.5719
perfect,0.5719
cheer,0.5106
accepts,0.3182
beautiful,0.5994
laugh,0.5574
great,0.6249
happier,0.5267
chance,0.25
feeling,0.128
depressing,-0.3818
depressing,-0.3818
amazing,0.5859
better,0.4404
engaged,0.4019
happy,0.5719
truly,0.4404
beautiful,0.5994
great,0.6249
friend,0.4939
hope,0.4404
crush,-0.1531
yes,0.4019
happy,0.5719
crush,-0.1531
yes,0.4019
crush,-0.1531
yes,0.4019
crush,-0.1531
yes,0.4019
happy,0.5719
happy,0.5719
friend,0.4939
share,0.296
feeling,0.128
happier,0.5267
wish,0.4019
luck,0.4588
injury,-0.4215
amazing,0.5859
pain,-0.5106
free,0.5106
blessed,0.5994
sunny,0.4215
battle,-0.3818
severe,-0.3818
anxiety,-0.1779
depression,-0.5719
dream,0.25
confident,0.4939
proud,0.4767
love,0.6369
stop,-0.296
like,0.3612
happy,0.5719
happy,0.5719
happier,0.5267
hope,0.4404
best,0.6369
friend,0.4939
yes,0.4019
beautiful,0.5994
smile,0.3612
eviction,-0.4588
cheating,-0.5574
failing,-0.5106
losing,-0.3818
cried,-0.3818
joy,0.5859
happy,0.5719
free,0.5106
like,0.3612
best,0.6369
happy,0.5719
happy,0.5719
holiday,0.4019
hope,0.4404
heart,0.6369
hope,0.4404
great,0.6249
enjoy,0.4939
hope,0.4404
good,0.4404
friend,0.4939
beautiful,0.5994
friend,0.4939
depression,-0.5719
lack,-0.3182
motivation,0.34
better,0.4404
depression,-0.5719
lack,-0.3182
motivation,0.34
better,0.4404
stressful,-0.5106
hard,-0.1027
better,0.4404
happier,0.5267
playing,0.2023
better,0.4404
losing,-0.3818
friend,0.4939
relax,0.4404
laugh,0.5574
brighten,0.4404
happy,0.5719
want,0.0772
proud,0.4767
creative,0.4404
miserable,-0.4939
best,0.6369
hope,0.4404
happy,0.5719
hid,-0.1027
surprise,0.2732
depression,-0.5719
love,0.6369
helping,0.296
fighting,-0.3612
best,0.6369
cool,0.3182
seriously,-0.1779
happy,0.5719
sweet,0.4588
smiling,0.4588
friend,0.4939
happy,0.5719
excited,0.34
created,0.25
help,0.4019
better,0.4404
happy,0.5719
want,0.0772
wish,0.4019
joy,0.5859
happiness,0.5574
beautiful,0.5994
like,0.3612
share,0.296
favorite,0.4588
smiley,0.4019
happy,0.5719
help,0.4019
happy,0.5719
beautiful,0.5994
amazon,0.1779
harmfully,-0.5574
free,0.5106
free,0.5106
love,0.6369
happy,0.5719
happy,0.5719
happier,0.5267
happy,0.5719
hope,0.4404
nice,0.4215
accepted,0.2732
happy,0.5719
happy,0.5719
support,0.4019
reassures,0.3612
jealousy,-0.3182
envy,-0.2732
pretty,0.4939
nasty,-0.5574
thief,-0.5267
rob,-0.5574
happiness,0.5574
peace,0.5423
calm,0.3182
feeling,0.128
contentment,0.3612
hatred,-0.6369
restlessness,-0.296
insecurity,-0.4215
helplessness,-0.4767
anger,-0.5719
resentment,-0.4404
cut,-0.2732
loose,-0.3182
happy,0.5719
proud,0.4767
proud,0.4767
healthy,0.4019
interested,0.4019
healthy,0.4019
favorite,0.4588
pretty,0.4939
lucky,0.4215
great,0.6249
great,0.6249
died,-0.5574
screw,-0.1027
happy,0.5719
best,0.6369
friend,0.4939
friend,0.4939
favor,0.4019
appreciation,0.5106
helping,0.296
smile,0.3612
accepting,0.3818
significant,0.2023
